Symbol,Score,Price,Volatility,RSI,Recent Trend,Volume Trend,MovingAverage Signal,LSTM Signal,MSI Signal,Transformer Signal
SHOP,37.919362943310816,91.77,0.7096428647902344,64.77969069156696,9.847324754873954,1.6144076376873715,HOLD,HOLD,HOLD,HOLD
PTON,36.905675913067654,6.16,0.829126699901216,65.44117647058825,17.866480739062208,1.381135182613531,HOLD,HOLD,HOLD,HOLD
PLTR,36.06346059058531,117.3,0.933142508511541,70.22283272283272,29.3388201196916,1.2201198755448188,HOLD,HOLD,HOLD,HOLD
UBER,35.50084855594684,82.81,0.4769033075348168,75.71502860114404,13.916962767354747,1.2906706645608357,HOLD,HOLD,HOLD,HOLD
U,35.38972435215332,20.56,0.8825558400159249,60.44657097288676,9.440172808393555,1.189910308751954,HOLD,HOLD,HOLD,HOLD
COIN,35.05373571545608,199.32,0.7527332056439089,66.47250067732324,14.123664726162865,1.0107471430912154,HOLD,HOLD,HOLD,HOLD
RBLX,33.44602319124612,71.88,0.5192046578400554,79.32386085252327,18.496069542776628,0.891009007747789,HOLD,HOLD,HOLD,HOLD
TSLA,33.31489361702127,298.26,0.8207633021579499,80.11063829787237,12.299046960643922,0.8707707604263855,HOLD,HOLD,HOLD,HOLD
WMT,32.98009818083205,96.72,0.3358937018601174,68.59361518550475,7.9800981808320515,0.5892349598206466,HOLD,HOLD,HOLD,HOLD
NFLX,32.755438365194465,1140.22,0.42123281419253467,83.4673698088332,18.773808671906387,0.7904350653337504,HOLD,HOLD,HOLD,HOLD
NET,32.44870715126555,132.34,0.6894054340301523,88.7663503462426,13.26653563689173,1.1152864417945298,HOLD,HOLD,HOLD,HOLD
DASH,32.413032870879086,183.52,0.5215447954313185,58.537653239929966,6.757069842873786,1.1311926056010597,HOLD,HOLD,HOLD,HOLD
DIS,31.903827493322098,105.94,0.4313805338338396,96.36517328825022,7.916430755293868,1.6763184572139864,HOLD,HOLD,HOLD,HOLD
ABNB,31.696781896313187,127.04,0.534155340163665,75.93277310924371,7.6855774145204725,0.8909024541471855,HOLD,HOLD,HOLD,HOLD
AVGO,31.5638098923067,208.2,0.6911722811873797,90.61714064615981,16.775778609385085,0.5371530661339297,HOLD,HOLD,HOLD,HOLD
GS,31.1876619002729,567.1,0.43354943563269155,81.91881918819189,8.174131764971548,0.7155390111824109,HOLD,HOLD,HOLD,HOLD
ORCL,31.03679550114078,150.34,0.5539256092597064,90.80664294187427,9.504569324786495,0.4709323809486675,HOLD,HOLD,HOLD,HOLD
GOOGL,30.90764460769396,152.75,0.3925310661484921,56.33100697906282,3.459377195036284,1.4896534825315357,HOLD,HOLD,HOLD,HOLD
PYPL,30.831046707202198,70.26,0.46789229467466076,85.53615960099751,8.420406640701783,0.7733238662196699,HOLD,HOLD,HOLD,HOLD
AMD,30.810192688578834,102.84,0.6575388575819182,86.31778058007572,6.902652954826016,1.3254339660864207,HOLD,HOLD,HOLD,HOLD
MSFT,30.682351132126247,438.73,0.3489792841800393,95.90589320724251,12.30810779888223,0.7886420609442012,HOLD,HOLD,HOLD,HOLD
BA,30.66908400241735,194.85,0.5088250015754783,95.98549598549589,16.235204443430916,0.9066250203238039,HOLD,HOLD,HOLD,HOLD
F,30.504530910129276,10.43,0.39972879458153915,75.80645161290319,6.472272845613136,0.933222984008728,HOLD,HOLD,HOLD,HOLD
SNOW,30.474013881835102,174.14,0.5466490336386327,97.1559167089894,15.029364471404993,0.47395180446208335,HOLD,HOLD,HOLD,HOLD
GE,30.30693677102517,214.96,0.41361384276214225,98.15837937384894,10.799222150000954,0.7252285334378382,HOLD,HOLD,HOLD,HOLD
HON,30.172504990797663,213.03,0.32600182719052045,74.82831484416268,5.977224131491443,0.9442924257344001,HOLD,HOLD,HOLD,HOLD
NVDA,29.83977001458892,116.65,0.7146020859327445,85.42713567839199,7.410959294320918,0.5824364466288646,HOLD,HOLD,HOLD,HOLD
ZM,29.469993943474186,81.31,0.3620364250591951,95.9252971137521,8.7908767957662,0.8124816984845944,HOLD,HOLD,HOLD,HOLD
CRM,29.333911288551622,275.42,0.3742841762720309,84.27871148459383,6.713696535983926,0.6463893585202098,HOLD,HOLD,HOLD,HOLD
JPM,29.13837933478939,253.08,0.3438128155534646,85.08593067288092,6.652701113602877,0.6108476197868657,HOLD,HOLD,HOLD,HOLD
LLY,29.02156543399983,734.57,0.49687829291276475,37.04393727682039,3.268342912393951,1.1506445043211757,HOLD,HOLD,HOLD,HOLD
IBM,28.421299588854886,249.2,0.387971797319481,60.88926174496645,3.421299588854887,0.6744111151752447,HOLD,HOLD,HOLD,HOLD
BAC,28.279298624689226,41.79,0.3715788105112066,93.09734513274346,7.128856146813134,0.716601670994401,HOLD,HOLD,HOLD,HOLD
FB,28.0763143046292,88.24584028321686,0.25433060071954233,46.16255133301772,3.076314304629202,0.9186198520569949,HOLD,HOLD,HOLD,HOLD
ABT,27.629964193340406,133.24,0.2508515257254429,65.13098464317989,2.629964193340406,0.7743464978886252,HOLD,HOLD,HOLD,HOLD
AMZN,27.47505091673174,193.06,0.4175298327855499,78.4357048166151,3.8810017195009205,0.7627631374487488,HOLD,HOLD,HOLD,HOLD
COST,27.14305985343784,1008.09,0.28287378777667205,84.32469304229195,4.530508693819835,0.6702712062101608,HOLD,HOLD,HOLD,HOLD
PFE,27.05486914645576,22.28,0.26805848525151027,52.11267605633804,2.0548691464557622,0.9941458290334312,HOLD,HOLD,HOLD,HOLD
QCOM,26.79649232562935,145.18,0.4978915697312154,61.40262361251263,1.7964923256293508,0.8934297741384778,HOLD,HOLD,HOLD,HOLD
HD,26.740114204240474,362.71,0.2730023535871361,69.65928873414575,1.7401142042404727,0.6913918042268029,HOLD,HOLD,HOLD,HOLD
GM,26.624839182258437,47.5,0.42291216368442675,70.7610146862483,1.7516749632998208,0.7017660008982268,HOLD,HOLD,HOLD,HOLD
MCD,26.563848283856007,313.68,0.2320214787412539,56.2062062062062,1.5638482838560064,0.7042901671910541,HOLD,HOLD,HOLD,HOLD
T,26.523271178975214,27.84,0.27590888463829855,66.02972399150744,1.5232711789752162,0.6770116929849118,HOLD,HOLD,HOLD,HOLD
ADBE,26.381120976580938,383.28,0.3758578869858051,95.37834164023545,5.610844583286845,0.6608173127781661,HOLD,HOLD,HOLD,HOLD
MMM,26.34282656307643,142.6,0.384223926939967,77.23523589574397,2.5486992123670893,0.6402809081431786,HOLD,HOLD,HOLD,HOLD
AAPL,26.323231721838525,198.53,0.46710203004409917,56.79574791192104,1.3232317218385248,0.915726069113324,HOLD,HOLD,HOLD,HOLD
V,26.20207852206571,352.54,0.27838175486641936,89.08433734939764,4.382801413631987,0.5906144362059663,HOLD,HOLD,HOLD,HOLD
TXN,26.170292157394798,172.27,0.5298692047207982,81.21779859484775,3.0399252565360912,0.7363329839839186,HOLD,HOLD,HOLD,HOLD
RTX,26.152751460759703,128.67,0.36387026768555897,53.800298062593114,1.1527514607597045,0.7194183256989503,HOLD,HOLD,HOLD,HOLD
PINS,25.95321084863936,29.22,0.6405205680165981,81.66877370417191,0.04090587929044265,1.57142011734218,HOLD,HOLD,HOLD,HOLD
