symbol,strategy,initial_capital,final_capital,total_return,annualized_return,sharpe_ratio,max_drawdown,trades,error
AAPL,MovingAverage,$2000.00,$1994.55,-0.27%,-13.74%,-0.31,-3.54%,2,
AAPL,MovingAverage_ML,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
AAPL,LSTM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
AAPL,LLM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,[],
AAPL,Transformer,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
MSFT,MovingAverage,$2000.00,$2011.91,0.60%,30.02%,1.95,-1.58%,2,
MSFT,MovingAverage_ML,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
MSFT,LSTM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
MSFT,LLM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,[],
MSFT,Transformer,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
GOOGL,MovingAverage,$2000.00,$2003.33,0.17%,8.40%,0.52,-0.93%,2,
GOOGL,MovingAverage_ML,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
GOOGL,LSTM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
GOOGL,LLM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,[],
GOOGL,Transformer,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
BTC-USD,MovingAverage,$2000.00,$1994.44,-0.28%,-8.76%,0.01,-6.46%,5,
BTC-USD,MovingAverage_ML,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
BTC-USD,LSTM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
BTC-USD,LLM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,[],
BTC-USD,Transformer,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
ETH-USD,MovingAverage,$2000.00,$2119.47,5.97%,188.16%,4.92,-3.45%,3,
ETH-USD,MovingAverage_ML,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
ETH-USD,LSTM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
ETH-USD,LLM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,[],
ETH-USD,Transformer,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0,Preprocessing resulted in empty dataset
