symbol,lstm_trained,transformed_included
GOOGL,False,True
AVAX-USD,True,True
AVGO,False,True
TSLA,False,True
ADA-USD,False,True
ADBE,False,True
NVDA,False,True
V,False,True
AMZN,False,True
MATIC-USD,False,True
META,False,True
JPM,False,True
HD,False,True
AAPL,False,True
CRM,False,True
LUNA-USD,False,True
CSCO,False,True
DOT-USD,True,True
SOL-USD,True,True
DOGE-USD,True,True
UNH,False,True
MSFT,False,True
UNI-USD,True,True
LINK-USD,True,True
PG,False,True
SHIB-USD,True,True
ETH-USD,True,True
BAC,False,True
NFLX,False,True
XRP-USD,True,True
PFE,False,True
BTC-USD,True,True
