Symbol,Strategy,Total Return,Annualized Return,Sharpe Ratio,Max Drawdown,Trades,Total Fees,Avg Fee/Trade
AAPL,MovingAverageStrategy,-13.642027189516902,-4.218148284365963,-0.1122929603092878,-37.40569466873683,18,8.928495291081136,0.49602751617117424
AAPL,LSTMPredictorStrategy,72.66887810768058,23.328098449854153,0.9344703612810392,-18.687077034897424,0,0.0,0.0
MSFT,MovingAverageStrategy,-33.53846233566692,-10.370174857163269,0.25881691030804965,-84.59482579130324,13,3.9457088502018127,0.3035160654001394
MSFT,LSTMPredictorStrategy,-50.88371808369776,-16.33464580521253,-0.775551326351864,-52.5112520543928,12,10.375527988947734,0.8646273324123112
GOOGL,MovingAverageStrategy,93.06730241816035,28.77663829371338,0.8132753203770362,-25.13838484496788,12,3.496886116691849,0.2914071763909874
GOOGL,LSTMPredictorStrategy,83.09454478084074,26.67493666849919,1.0897053922783209,-15.571604158566213,17,8.137390714862612,0.4786700420507419
AMZN,MovingAverageStrategy,63.95668989865886,19.775565465597587,0.9250370950477305,-18.14845574422336,13,8.466596827065278,0.6512766790050214
AMZN,LSTMPredictorStrategy,-81.56783443895524,-26.18483347594487,0.17711466921293387,-95.06148161389737,6,0.42257867479594513,0.07042977913265752
META,MovingAverageStrategy,-22.22372627513034,-6.871630701021897,-0.24769656837900556,-33.94901962678644,19,23.581051915730036,1.2411079955647388
META,LSTMPredictorStrategy,-59.316226745366194,-19.041642216346855,-0.5942036408383973,-75.90142739569757,19,12.312807797304218,0.6480425156475904
